domain_ID,domain_name,cookies_default,cookies_dont,cookies_ninja,cookies_accepted,clicked,location,first_parties
400,cdc.gov,1,1,1,1,False,"['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
403,beytoote.com,1,1,1,1,False,[],[]
407,citi.com,7,1,6,8,True,[],[]
408,google.com.ua,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
411,err.tmall.com,0,0,0,0,False,['US'],[False]
413,slack.com,2,2,2,3,True,[],[]
415,dell.com,8,9,5,4,True,[],[]
417,investopedia.com,1,1,1,1,True,[],[]
418,oracle.com,6,2,7,6,False,"['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
419,otvfoco.com.br,7,7,7,7,False,[],[]
421,quizlet.com,1,1,1,3,True,[],[]
424,tutorialspoint.com,0,0,0,0,False,[],[]
425,youdao.com,1,1,1,1,False,[],[]
426,marketwatch.com,5,5,7,7,False,[],[]
427,fiverr.com,1,3,3,3,True,[],[]
428,blackboard.com,1,1,1,3,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, False, False, False, False, False, False, False, False]"
429,wsj.com,4,2,4,7,False,[],[]
430,sonhoo.com,2,2,1,2,False,[],[]
431,mathrubhumi.com,1,1,1,1,False,[],[]
432,zoho.com,1,1,1,1,True,[],[]
433,surveymonkey.com,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US']","[True, True, True, False, True]"
437,livejournal.com,3,3,3,4,False,[],[]
439,buzzfeed.com,2,1,2,6,True,[],[]
440,lee.tmall.com,1,1,1,1,False,[],[]
442,divar.ir,0,0,0,0,False,[],[]
443,alodokter.com,2,2,3,5,False,"['ES', 'ES', 'ES', 'ES', 'ES', 'SG', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
444,qoo10.sg,1,0,1,1,True,[],[]
446,usatoday.com,9,2,2,5,True,[],[]
448,homedepot.com,1,1,1,1,False,"['ES', 'ES']","[True, False]"
449,win-rar.com,0,0,0,0,False,[],[]
450,google.com.vn,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
455,nikkei.com,8,5,7,9,False,[],[]
456,mit.edu,0,0,0,0,False,[],[]
457,cambridge.org,1,1,1,1,True,[],[]
460,wildberries.ru,1,1,1,1,False,[],[]
461,sarkariresult.com,0,0,0,0,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'GB']","[False, False, False, False, False, False, False, True, False]"
463,albawabhnews.com,1,0,1,1,False,[],[]
464,google.ro,1,1,1,1,True,[],[]
465,norton.com,1,1,1,1,True,[],[]
468,rediff.com,4,4,4,4,False,"['ES', 'ES', 'IN', 'ES', 'ES', 'ES', 'ES', 'IN', 'ES', 'ES', 'ES', 'ES', 'IN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'IN', 'ES', 'IN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']","[False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False]"
469,osskanger.com,0,0,0,0,False,"['GB', 'GB']","[False, False]"
471,skype.com,1,1,1,1,True,[],[]
